vin	model	model_year	description	manufacturer	condition	vehicle_type	horsepower	fuel_type	colors	purchase_date	purchase_price	customer_seller	inventory_clerk	sale_date	customer_buyer	salesperson
I7B0O1H2OO8586909	BOXSTER	2006	original equipment manufacturer (OEM) parts; oversteer; 	Porsche	Good	SUV	341	Gas	Tan	2023-01-01	7756.28	480355246	user24	2023-07-04	480355246	owner
IESD5FO6UYK261715	EVORA	2011	ultra new transmission; 	Lotus	Very Good	Coupe	314	Gas	Red	2023-08-14	7381.46	033375455	user21			
IFBMBJ1L600560567	RAM 1500 TRUCK	2007	engine displacement; 	Dodge	Very Good	Truck	274	Hybrid	Orange	2023-03-07	4722.46	725273337	user07			
IGCYVATVIYZ078682	C70	2011		Volvo	Fair	SUV	436	Gas	Brown	2023-03-19	5142.25	524692391	user12	2023-08-18	580630500	user23
IQV1YQ3IV7V327698	MATIZ	2011		Chevrolet	Very Good	SUV	353	Gas	Green,Turquoise	2023-02-16	4969.07	307192832	user05	2023-05-19	591437032	owner
ITNTBT3I3K1112168	300C	2014	overdrive; 	Chrysler	Excellent	Truck	329	Gas	Brown	2022-07-20	17317.89	526404326	user13	2023-06-15	510679263	user16
IVZVZYNIOWU741253	SAVANA 4500	2013		GMC	Excellent	Minivan	192	Gas	Metallic	2023-01-23	7749.18	139932987	user13			
IZ7QWUEGB3H617828	300M	2003	detail; 	Chrysler	Very Good	Coupe	237	Plugin Hybrid	Gray	2023-08-15	1572.80	491580595	user15	2023-08-23	031943406	user06
JCDM7P6FYYP189674	X6	2008	rear wheel drive; air filtration system; 	BMW	Fair	Convertible	193	Gas	Black,Gold,Pink	2023-03-07	2690.50	843028835	user10			
JDZCMB67NYJ067633	PANAMERA	2011	all passive safety features; 	Porsche	Good	CUV	240	Diesel	Red	2023-01-10	5386.66	983685043	user09	2023-05-21	538226089	user25
JQA3ZA51WW8465344	PATHFINDER	2003	wide chassis; 	Nissan	Good	CUV	239	Gas	Copper	2022-09-11	1734.99	275817531	user21			
JUU4F0TYK4A947289	ELISE	2006		Lotus	Excellent	Convertible	190	Gas	Gray,Metallic	2022-07-08	2502.00	313904048	user11			
JVQ8ZELPGF5916074	PALIO	2008	no redline; 	FIAT	Fair	Minivan	219	Gas	Tan	2023-05-04	3530.16	913927038	user24			
KEQ2CFPH7RO593605	VAN 1000	2008	broad wheelbase; 	Dodge	Excellent	Van	276	Fuel Cell	Rose	2023-08-30	8625.87	291505280	user11	2023-08-30	072491401	user25
KG8BHN0NTUF642399	RIO5	2010	high block; 	Kia	Very Good	Convertible	151	Hybrid	Claret	2022-10-14	4888.24	631146418	user24			
KKEJDR1DEYM433866	RX400H	2008	high torque; small spark plug gap; 	Lexus	Excellent	Sedan	177	Gas	Navy	2023-07-16	10745.69	047228901	user18			
KLE3XPYFTO6494665	TIBURON	2003		Hyundai	Excellent	Truck	307	Gas	Pink	2023-08-19	2535.54	811807619	user10			
KPDR2Q24D25119360	ES8 NEW	2023		Nio	Good	Minivan	249	Gas	Metallic	2022-11-02	10926.52	381212216	user24	2023-02-09	954824113	user23
KUG7KOVDXOY323266	MP4-12C	2013	sport utility vehicle-SUV; 	McLaren	Fair	Coupe	263	Gas	Rust	2023-06-07	5180.58	022691032	user15	2023-08-10	556570812	user23
KZ0SACUMQTT627927	DBS	2012	air filtration system; 	Aston Martin	Fair	Convertible	176	Gas	White	2022-07-30	3988.54	811807619	user07	2023-08-02	025917237	user06
L7OR57TJ78J722023	A4 QUATTRO	2011	high quality carburetor; 	Audi	Good	SUV	389	Battery	Navy	2023-07-02	3377.16	377287634	user15	2023-07-29	538226089	user03
LBOZN1LVD46821421	918 SPYDER	2015	very hard struts; 	Porsche	Very Good	Coupe	267	Gas	Blue	2022-08-30	13647.50	203112624	user09	2022-11-05	921649804	owner
LEDF5CRGFJL596318	WRANGLER	2010	high torque; 	Jeep	Fair	Minivan	190	Gas	Yellow	2022-12-12	5415.04	531825735	user17			
LEL1EDGLIJB218949	RANGE ROVER SPORT	2006	broad wheelbase; 	Land Rover	Fair	Sedan	167	Gas	Purple	2022-10-08	2522.87	532449344	owner	2022-11-07	477077414	user04
LEQEZHIL372503269	GIULIETTA	2014	best sedan; 	Alfa Romeo	Very Good	Minivan	242	Gas	Navy	2022-10-20	12083.70	101246549	user05			
LGC76I73Q43597619	GRANTURISMO	2010	drive shaft; four-wheel drive; 	Maserati	Very Good	Coupe	234	Battery	Brown	2023-08-07	4963.40	895019355	user10	2023-08-19	216554083	user03
LLAES6UX7PE080692	RANGE ROVER EVOQUE	2013	great engine; 	Land Rover	Excellent	CUV	279	Gas	Black,Blue	2022-09-22	14715.97	565447868	user12			
LLUBKYOAHHE880633	SEDONA	2006	modern dashboard; 	Kia	Very Good	Convertible	177	Gas	Bronze,Copper,Yellow	2022-09-06	5000.61	171405708	user11			
M07I6J8WOKL966353	BEETLE	2010	broad wheelbase; 	Volkswagen	Excellent	SUV	264	Gas	Black,Gold,Gray	2022-12-26	3625.13	480436640	user05			
M0LLCXP5H7J310101	LACROSSE	2007	front axle assembly; 	Buick	Excellent	Sedan	116	Gas	Purple	2022-07-06	3284.10	798921658	user07	2022-07-26	769826911	user03
M1HFENPSVSL450248	XINGYUE L	2022	high differential; 	Geeley	Excellent	Minivan	213	Diesel	Silver	2023-02-06	10551.19	531825735	user15	2023-07-29	823731374	user19
M1VVHWPORQR461359	ROADSTER	2009	air filtration system; 	Tesla	Excellent	Van	273	Gas	Metallic	2023-06-29	12758.92	778214839	user11	2023-07-09	804412234	user19
MD18NLSWMB4832949	LACROSSE	2008		Buick	Very Good	SUV	405	Gas	Orange	2022-10-11	3480.58	672131657	user10	2023-05-14	303794079	user16
MFCEDCRIYU1438485	ELISE	2005	manual transmission; 	Lotus	Excellent	Sedan	101	Gas	Gold	2023-03-12	2159.58	965594555	user07	2023-08-28	823731374	user04
MGIHKQRZQ3I865167	OUTBACK	2006	small spark plug gap; 	Subaru	Very Good	CUV	295	Gas	Rose	2022-09-13	5327.38	779146875	user02	2023-04-07	589074337	user06
MKBNHXQ0YCV993030	FM-SP	2002		Mitsubishi	Good	Minivan	252	Gas	Rose	2022-08-17	1912.34	804908519	user20	2023-04-14	410614165	owner
MLQIF1Z0TMV429595	ES350	2010		Lexus	Excellent	Van	316	Battery	Pink	2023-04-15	19135.73	677936515	user07	2023-08-02	087754715	user23
MO22767RXSI895117	NSS250 REFLEX	2005	hydraulic brakes; 	Honda	Fair	Coupe	350	Gas	Cream,Gray	2023-06-24	5513.42	977074594	owner	2023-08-20	161721159	user16
MQY15YFZ5CB825109	RANGE ROVER EVOQUE	2015		Land Rover	Good	Van	331	Gas	Beige	2023-02-13	16163.48	585189026	user07			
MXQN4LATRKB695732	C6500 TOPKICK	2002	wide chassis; 	GMC	Excellent	Van	352	Gas	Aluminum	2022-09-17	4229.97	980497412	user24			
N5NZQJ4VDI0775398	CONTINENTAL	2014	high differential; 	Bentley	Excellent	Sedan	113	Gas	Cream,Green	2023-06-25	13549.32	307192832	user07	2023-08-20	615376231	user16
N6N74WLAP33523834	RL	2010	super new ignition system; 	Acura	Fair	Convertible	164	Gas	Turquoise	2023-01-05	3088.32	510679263	user24	2023-07-20	018533690	user16
N6SHU6PIZHU230217	4C	2015	active safety features; 	Alfa Romeo	Good	SUV	337	Gas	Maroon	2023-08-20	8082.19	725273337	user15	2023-08-25	321594201	user04
N7Z650PTGIP247286	C70	2004	coupe; front wheel drive; 	Volvo	Fair	SUV	290	Gas	Blue	2023-06-14	2636.21	159645355	owner	2023-07-31	834769864	user23
NEWE3K53GY7625960	RAM 1500	2004	hatchback; good piston; 	Dodge	Very Good	Truck	322	Battery	Turquoise	2023-04-11	2417.00	006502052	user07			
NG2R81BAMWW204013	R1T	2023	engine displacement; 	Rivian	Very Good	Convertible	189	Gas	Copper	2023-07-22	10455.70	712329540	user24	2023-08-31	002868452	user25
NR0UX0H7C2C321461	ESCALADE ESV	2009		Cadillac	Fair	Van	317	Plugin Hybrid	Brown	2023-02-15	12009.36	895019355	user10	2023-02-21	591437032	user19
NR8MRVX5E8D221451	SPARK EV	2014		Chevrolet	Good	Convertible	196	Gas	Claret	2022-10-01	5800.05	746564763	user02			
NVE4BVYKKN4430875	SPACE STAR	2004	great rpms; 	Mitsubishi	Fair	Truck	315	Diesel	Copper	2023-01-04	2750.74	977074594	user05	2023-03-30	843028835	user25
OJ3FX6U8I0E468699	VANQUISH	2002	front wheel drive; 	Aston Martin	Excellent	Convertible	188	Diesel	Rose	2023-01-21	1053.77	234661232	user10			
OPBJWWEIHPI797081	ELISE	2009	automatic safety features; 	Lotus	Good	CUV	283	Gas	Claret	2023-02-24	3450.14	047228901	user07	2023-04-29	559840282	user19
OQ11DGF6RTF163062	TRIBUTE	2005	broad wheelbase; 	MAZDA	Fair	Truck	277	Battery	Claret,Pink	2023-03-07	2330.50	874758244	user05			
P6MQEVF1IQJ610623	K1600GT	2014	best suspension; 	BMW	Good	Sedan	230	Gas	Blue	2022-11-28	4427.73	526404326	user18	2023-03-09	585189026	user16
PBESRWYTH82112725	RENDEZVOUS	2006	no redline; 	Buick	Very Good	Minivan	246	Gas	Black	2023-06-20	2271.55	457885161	user24	2023-08-14	025917237	user23
PEFFRGBZ281543143	GRANTURISMO	2014	wide cam; 	Maserati	Good	Convertible	192	Gas	Orange	2023-07-01	5325.93	860241229	user13	2023-07-18	615376231	owner
PIA08DCAJZT422690	LACROSSE	2014	best radiator; 	Buick	Excellent	CUV	327	Hybrid	Tan	2022-11-04	4193.00	334676702	user05	2022-11-13	874758244	user23
PLT6LAJER3K107458	G9	2022		XPeng	Fair	Van	346	Diesel	Gray	2023-01-22	13947.77	006502052	user05	2023-06-25	202765813	user06
PPL8CACMUCW104005	FORTWO	2010	high volume cylinder; 	smart	Excellent	Truck	330	Gas	Claret,Rose	2022-08-01	9118.35	334676702	user17			
PPVYLZRPFEV326028	CSX	2010	wide cam; 	Acura	Very Good	CUV	271	Gas	Rust	2022-11-13	10231.69	575329711	user21	2023-04-04	801084912	user19
PX3EBB0J75G953864	XK8	2002	convertible; very hard struts; air filtration system; 	Jaguar	Excellent	Minivan	255	Gas	White	2023-03-30	5226.16	307192832	user09			
PXCNI2OSD7O895646	FG140	2006	manual transmission; 	Mitsubishi	Very Good	Minivan	205	Gas	Turquoise	2022-07-16	10365.45	190151970	user15	2022-10-06	845147047	user25
PYPAPD46NJL873425	FORTWO	2015	rear wheel drive; 	smart	Very Good	CUV	344	Gas	Blue	2023-02-17	10396.33	003094340	user18	2023-06-03	043141609	user23
PZEF1VF3KOO767751	R1S NEW	2021	best sedan; 	Rivian	Very Good	Truck	336	Gas	Orange	2023-01-30	18331.93	804908519	user10	2023-05-08	971509095	owner
PZF7JY7KVUR182613	FORFOUR	2005	wide transaxle; hatchback; 	smart	Excellent	SUV	306	Gas	Brown	2023-01-10	2764.49	240171065	user05			
Q2P2LK1ILHI808826	BAJA	2004	high quality carburetor; supernew catalytic converter; 	Subaru	Fair	Truck	273	Gas	Rose	2023-06-07	6245.25	087754715	user05	2023-07-02	009295495	user03
Q60GMZWT47I158333	GRANSPORT	2006	wide chassis; 	Maserati	Excellent	Coupe	347	Hybrid	Maroon	2023-03-19	3820.77	575054568	user21	2023-05-01	395276449	user16
Q7YZUDKENN4246098	325XI	2005		BMW	Very Good	Truck	264	Diesel	Silver	2023-05-01	2575.77	116667329	owner			
Q8DL7A5M6DW706622	A6 QUATTRO	2003	rack and pinion steering; 	Audi	Excellent	Van	281	Gas	Copper	2022-08-02	4082.22	891541922	owner	2023-03-15	556570812	user04
QEQSOYDPWY5042665	MITO	2015	good piston; 	Alfa Romeo	Excellent	Truck	265	Battery	Yellow	2022-11-12	6876.32	022691032	user18	2022-12-30	624839974	owner
QH3G5SMTWL1655432	FORTWO	2011	disc brake; check the Monroney sticker - theer is nothing better than this vehicle; high block; 	smart	Good	Sedan	119	Gas	Maroon	2023-01-15	9254.13	189578947	user09	2023-08-09	203112624	user16
QHAPGD3YQSF045388	GS-6	2023	engine displacement; 	Karma	Very Good	Sedan	213	Gas	Blue	2023-07-09	13629.67	510679263	user09	2023-08-23	446640568	user23
QPWTK3WNUF0594711	ML350	2005	good gear; power train; 	Mercedes-Benz	Excellent	Minivan	191	Gas	Rose	2023-01-31	7829.70	139932987	user20	2023-08-18	955155656	user06
QRDJE8YRD8U529603	GS-6 PROS	2023		Karma	Excellent	Truck	343	Gas	Purple	2023-04-23	21188.26	072491401	user13	2023-07-03	740611372	user03
QWJUBFUE74W190495	LEGACY	2013	disc brake; 	Subaru	Good	SUV	243	Plugin Hybrid	Navy	2023-07-21	7471.80	216554083	user18	2023-08-12	116667329	user16
R6O7MCNZEA0553701	LFA	2012	great stabilizer bar; gap; normally aspirated; 	Lexus	Good	Convertible	169	Gas	Metallic,Pink	2022-08-09	5992.50	477077414	user10	2022-11-04	381212216	user23
RBSQUJWFZ4A708786	TSUBAME	2004	normally aspirated; fuel injection; gap; 	Nissan	Very Good	Convertible	194	Diesel	Blue	2023-01-06	2460.82	945585317	user20	2023-02-24	058642805	user04
RCL5Y4CCCUM867263	RANGE ROVER SPORT	2006	original equipment manufacturer (OEM) parts; 	Land Rover	Very Good	CUV	280	Plugin Hybrid	Blue	2022-10-19	2495.28	629812240	user10	2022-10-27	563576825	user06
RJFS2TGCIQ3754282	MKX	2010		Lincoln	Good	Convertible	179	Gas	Pink	2023-01-09	3575.33	500034298	user11			
RLDE4ATQ47P565906	INTREPID	2004	rack and pinion steering; best suspension; 	Dodge	Excellent	Minivan	237	Gas	Purple	2023-07-10	2281.52	566053758	user20	2023-08-19	934237940	owner
RLRM7DYGMQU101483	F650	2002		Ford	Fair	CUV	224	Hybrid	Gold,Silver	2022-09-09	5039.04	913927038	user21			
RO4NPMLPRAU291778	370Z	2009		Nissan	Very Good	SUV	288	Gas	Turquoise	2023-08-23	12198.53	715402425	user07	2023-08-26	850547815	user19
RQT7QTVEXT0674936	V8 VANTAGE	2014	original equipment manufacturer (OEM) parts; pickup; 	Aston Martin	Excellent	Minivan	240	Gas	Aluminum	2023-06-12	17853.42	904213466	user02	2023-06-30	321594201	owner
RYY32CGB7QR718629	G9	2020	normally aspirated; 	XPeng	Good	Minivan	182	Gas	Bronze	2022-11-05	10497.28	190151970	user05	2022-11-06	289098127	owner
S3OPBKGXWAZ659884	V40	2003	wide transaxle; 	Volvo	Very Good	CUV	307	Gas	Yellow	2022-07-22	3363.56	482042583	user12			
SAK8I3JJ105230630	EXIGE	2008	supernew catalytic converter; all passive safety features; detail; 	Lotus	Good	Minivan	215	Gas	Pink	2023-03-27	8938.94	692263332	owner	2023-05-01	630990970	user03
SD2X8HRQ6LA547754	300M	2004	wide transaxle; 	Chrysler	Fair	CUV	318	Plugin Hybrid	Rust	2022-10-21	1803.58	329866577	user21	2023-07-09	629812240	user25
SDRDJVHRDEY589102	RL	2006		Acura	Very Good	SUV	291	Gas	Yellow	2023-07-31	2199.26	694670985	user13			
SJTYF7S2DOK527698	PANAMERA	2010		Porsche	Good	Sedan	233	Gas	Blue	2023-05-29	5389.30	591437032	user11			
SR4SDAVQ7PE310529	SOLARA	2005	unibody construction; super new ignition system; 	Toyota	Fair	CUV	329	Gas	Red	2023-04-18	5374.60	938929270	user24	2023-06-05	480355246	user06
T00X580HYD6011764	A5 QUATTRO	2011	small spark plug gap; best oil pump; 	Audi	Very Good	Truck	303	Gas	Brown,Claret,Rose	2023-04-07	17422.69	157634981	user11			
T243JSSHR0A986592	ELISE	2007	super new ignition system; 	Lotus	Fair	Sedan	190	Gas	Navy	2023-04-09	2866.02	895019355	user12	2023-05-19	556187762	user23
T4ZU00SL0FM541576	CANYON	2005	broad wheelbase; automatic safety features; 	GMC	Fair	Truck	311	Diesel	Black	2022-12-05	4583.01	524692391	user02	2023-03-16	116667329	user19
T5C2LPXJ6EV337528	G9	2021		XPeng	Good	Coupe	263	Gas	Red,Silver	2023-07-12	11635.06	143539190	user02	2023-08-16	804412234	owner
T7QN0RYWNOR420799	MP4-12C	2014	wide transaxle; 	McLaren	Good	CUV	314	Gas	Rust	2022-10-05	5338.42	291505280	user09			
TC4853NNGV8281503	SUBURBAN 1500	2011		Chevrolet	Good	Minivan	199	Natural Gas	Turquoise	2022-12-15	6739.98	170197151	user13	2023-04-05	945585317	user04
TNKMV3WVVH4431089	ES8 NEW	2023	best oil pump; ultra new transmission; 	Nio	Very Good	Coupe	294	Gas	Orange	2022-07-27	10912.37	861158388	owner	2022-08-15	283775388	user23
TPH6V84MCP2752251	COBALT	2010	anti-lock brake system (ABS); 	Chevrolet	Excellent	Sedan	120	Gas	Copper	2022-09-19	4199.62	171405708	user18	2022-11-23	116667329	user25
TSKEZMWTN2C772047	S40	2004	electronic transmission; 	Volvo	Excellent	Minivan	213	Gas	Metallic	2022-07-19	2028.17	416352320	user13	2023-01-03	031943406	user04
TSZ1KL4E1GB345118	DEFENDER	2012	modern dashboard; 	Land Rover	Good	CUV	368	Gas	Blue	2022-09-27	9067.01	626322844	user12			
TVGHAGV52ZK295053	G20	2002	sturdy rear axle assembly; 	INFINITI	Very Good	Sedan	154	Hybrid	Aluminum,Maroon,Rust	2022-10-26	2688.16	860241229	user21	2023-05-05	003094340	owner
TWQZPGJM4DR331537	M45	2008	no redline; active safety features; 	INFINITI	Good	SUV	241	Plugin Hybrid	Bronze	2023-08-20	2647.96	977074594	user13	2023-08-21	500034298	user04
U73PMGHR3NU905301	PT CRUISER	2006	four-wheel drive; 	Chrysler	Very Good	Minivan	221	Gas	Orange	2023-06-23	3925.87	556570812	user21	2023-07-12	022691032	owner
U7IKYL8F8X4927973	F-250	2004		Ford	Excellent	CUV	252	Plugin Hybrid	Silver	2022-09-27	2517.84	519824004	owner	2023-07-25	480436640	user16
U7KH3BB3QF1504776	C6500 TOPKICK	2005	superturbocharger; 	GMC	Excellent	Sedan	161	Plugin Hybrid	Gray	2023-04-30	7477.74	180557460	user02	2023-07-10	798921658	owner
U8EJ173KSZC747630	DAKOTA	2010	wide cam; 	Ram	Good	Minivan	214	Gas	Bronze	2023-08-25	4272.28	712329540	user20	2023-08-27	006351430	user25
UDE781XTUA1070992	ROADSTER	2009	high quality carburetor; 	Tesla	Very Good	Coupe	366	Gas	Brown	2023-01-17	12675.52	446640568	user09	2023-03-22	031342737	user16
UHNJLMAYL3Z014146	458 SPIDER	2014	great rpms; 	Ferrari	Very Good	Truck	299	Gas	Claret,Rust,White	2022-08-24	8076.92	168032201	user10	2023-08-17	715402425	user04
UJXTQIJ6PUG086494	V8 VANTAGE	2013	best sedan; 	Aston Martin	Good	CUV	239	Gas	Aluminum	2022-11-29	17269.62	804718897	user05	2023-08-29	216554083	user03
UOGYWMEC33D484399	GRANSPORT	2006	broad wheelbase; 	Maserati	Good	Minivan	184	Plugin Hybrid	White	2022-10-20	3882.11	626322844	user18	2023-07-31	159645355	owner
US6XUXEBB7J677669	E250	2012		Mercedes-Benz	Very Good	Sedan	131	Gas	Navy,Orange	2023-06-05	7768.02	489738648	user02			
USQTBTRES6C396411	320I	2005	convertible; 	BMW	Fair	Van	338	Gas	Aluminum,Tan,Yellow	2022-11-24	5883.79	003992833	user13			
UYFIPOJKG8M784198	FREELANDER	2002	good gear; 	Land Rover	Very Good	Sedan	121	Gas	Tan	2022-08-05	3415.04	410614165	user12	2023-04-29	446640568	user04
UZ2261G58WF281968	R1S NEW	2022	best possible traction; 	Rivian	Excellent	Sedan	141	Plugin Hybrid	Purple	2023-07-11	22193.20	860241229	user02			
UZMOJESJGYB516120	MITO	2012	electronic transmission; 	Alfa Romeo	Fair	CUV	303	Gas	Bronze,Cream	2023-07-02	6224.90	303794079	user15	2023-08-25	480355246	user03
V1NVZM13MTZ321642	C32 AMG	2003		Mercedes-Benz	Fair	Minivan	228	Gas	Green,Silver,White	2023-08-13	2012.46	613205626	user20	2023-08-25	067755958	owner
VLYSREO4D36135371	SPIDER	2008	superturbocharger; rear wheel drive; 	Alfa Romeo	Excellent	Convertible	192	Plugin Hybrid	Metallic	2023-02-27	8244.89	556187762	user15	2023-05-13	633816225	user23
VMHK0HNQTW3691881	CC	2013	modern dashboard; 	Volkswagen	Excellent	Van	294	Diesel	Purple	2023-07-16	7443.52	643263338	user15			
VWF36GH8UML053642	STS	2007	superturbocharger; station wagon (Also known as wagon.); safe oil ring; 	Cadillac	Fair	Coupe	324	Plugin Hybrid	Black	2023-01-09	8021.99	190389930	user02	2023-05-12	904213466	user06
VZJVASAMKKS604221	EVORA	2014	best sedan; 	Lotus	Excellent	Sedan	182	Gas	Silver	2022-07-09	7970.48	061387114	user09	2023-08-16	580630500	user03
W2TZ8TM4KYP471843	EQUUS	2013	drum brake; electronic transmission; super new ignition system; 	Hyundai	Excellent	CUV	259	Plugin Hybrid	Gold,Metallic,Tan	2023-02-26	9020.52	685291728	user21	2023-06-24	643263338	user03
W53DF32ONVV569395	EMGRAND S	2019	strong muffler; 	Geeley	Good	SUV	391	Gas	Beige,Pink	2023-06-22	15649.78	633816225	user17	2023-08-03	914475403	user04
WA73P2TB0BO402832	GX470	2003	anti-lock brake system (ABS); 	Lexus	Excellent	Van	271	Gas	Copper	2023-02-16	1757.86	303794079	user21	2023-08-28	929692063	user23
WBMXRC0KFEQ531154	CROSSFOX	2009	super new ignition system; 	Volkswagen	Excellent	SUV	396	Battery	Tan	2022-12-23	5320.60	649248115	user09	2023-06-18	666306027	user16
WJFKT6K3CDS809623	F-TYPE	2014	good gear; sport utility vehicle-SUV; oversteer; 	Jaguar	Excellent	Coupe	393	Gas	Cream	2022-12-31	18845.23	626322844	user18	2023-01-31	615376231	user19
WJN637K4U06642593	COUNTRYMAN	2011	crumple zones; 	MINI	Excellent	Sedan	220	Fuel Cell	Beige,Claret,Pink	2022-11-20	14924.83	006502052	user02			
WUD6UHNVINU339156	A6	2003	great stabilizer bar; 	Audi	Good	Sedan	207	Gas	Rust	2022-08-17	4715.99	801084912	user12	2022-11-28	349754202	user23
WXATONNZWKV888088	456 M GT	2002		Ferrari	Excellent	Sedan	145	Gas	Blue,Purple,Rose	2023-04-10	2120.19	556570812	user24			
X5MLJ3CUPNB099293	G9	2023	very hard struts; 	XPeng	Very Good	Convertible	164	Gas	Turquoise	2023-02-02	16385.13	977074594	user18	2023-03-20	626322844	user06
XCYACD0XN81334516	NV2500	2014	modern dashboard; 	Nissan	Fair	CUV	348	Hybrid	Maroon	2023-03-17	6968.70	416352320	user18			
XEGBS0XOI2N387757	XINGYUE L	2023	air filtration system; 	Geeley	Excellent	Van	369	Hybrid	Purple	2022-12-19	12267.03	934237940	owner	2023-01-06	416352320	user06
XFZA0H1LN1P361906	COOPER PACEMAN	2013	very hard struts; 	MINI	Fair	Convertible	150	Gas	Brown	2023-04-05	8488.70	101246549	owner	2023-07-22	101246549	owner
XLQBDQWBZDN084612	NITRO	2007	automatic valves; 	Dodge	Very Good	CUV	257	Plugin Hybrid	Rose	2022-10-19	5095.13	147820188	user05			
XPUC8ERWM0W803922	SANTA FE	2003	pickup; 	Hyundai	Fair	Sedan	104	Plugin Hybrid	Turquoise	2022-10-20	4010.47	977074594	user21	2022-12-22	804718897	user16
Y033F7MCLW5266860	E400	2015	original equipment manufacturer (OEM) parts; sturdy rear axle assembly; wide cam; 	Mercedes-Benz	Good	SUV	300	Diesel	Aluminum	2023-02-07	6321.07	694670985	user07	2023-07-10	189578947	user16
Y4M46JG6P4R842099	ROUTAN	2011	coupe; minivan; drive shaft; 	Volkswagen	Very Good	Convertible	191	Gas	Claret	2022-07-08	3366.52	725273337	user12	2023-04-02	868715602	user25
Y56Q2GI1LS6727671	MX-5 MIATA	2009	gap; gap; 	MAZDA	Very Good	Sedan	193	Gas	Black	2022-09-12	5633.47	003094340	user10			
YITE7BMX1N7857452	COOPER	2015	no understeer; four-wheel drive; 	MINI	Excellent	Minivan	246	Gas	Bronze,Maroon	2023-08-24	4808.08	913927038	user13	2023-08-31	971509095	user19
YL8S255YJYA054546	FORFOUR	2005		smart	Excellent	Coupe	248	Gas	Rose	2023-04-11	2782.94	834769864	user09	2023-06-16	732317837	user23
YVMVY2BZAR4435152	335I GT XDRIVE	2015	high differential; 	BMW	Very Good	Minivan	199	Gas	Maroon	2023-04-26	3600.83	395276449	user17			
Z0G16U7UDC0331707	DBS	2008	good gear; 	Aston Martin	Excellent	Truck	317	Battery	Yellow	2022-11-15	3412.49	355956538	user09	2023-01-05	249565760	user04
Z1AKLYZDZLY858148	GRANDE PUNTO	2007	no backfire/backfiring; fuel injection; 	FIAT	Excellent	Coupe	309	Gas	Bronze	2022-10-04	9438.13	526591460	user12	2023-02-10	003992833	user04
Z7I1HGSFYSF704101	ASPEN	2007	great rpms; 	Chrysler	Very Good	Truck	256	Natural Gas	Orange	2023-05-18	9548.15	147820188	user11			
ZAGIZGOGIZ6802854	MKZ	2010		Lincoln	Very Good	Coupe	323	Plugin Hybrid	Pink,Tan	2022-09-16	4422.83	033375455	user11	2023-02-25	180557460	user19
ZBSRSJEASBE950499	EOS	2009	drum brake; drum brake; great stabilizer bar; 	Volkswagen	Very Good	Sedan	220	Plugin Hybrid	Gold	2023-02-12	14476.83	190389930	user07	2023-06-21	190389930	user25
ZC1QS3Y7MOM256400	AVALON	2014	safe oil ring; 	Toyota	Excellent	Truck	343	Battery	Aluminum	2022-07-28	5227.95	002868452	user09			
ZJ8V6INQOV2978667	FORTWO	2008	best oil pump; 	smart	Fair	Sedan	201	Plugin Hybrid	Bronze,Tan	2022-08-18	8236.12	025917237	user13	2023-06-30	666306027	user16
ZKE5A1ZF45J937308	MONTERO	2006	station wagon (Also known as wagon.); great stabilizer bar; 	Mitsubishi	Very Good	Truck	290	Gas	Claret	2023-03-31	4702.13	766904975	user17	2023-07-01	002868452	user04
ZO23XPTPQGF782695	QX56	2004	air filtration system; 	INFINITI	Excellent	CUV	386	Plugin Hybrid	Rust	2022-11-16	2553.60	283775388	user18	2023-06-26	563576825	user23
ZPPXCCIV5JU440482	R1S NEW	2023	good piston; 	Rivian	Fair	Truck	314	Battery	Claret	2022-09-08	25780.94	876465935	user13			
ZTFFYASAAMG348199	B2300	2007	best possible traction; 	MAZDA	Fair	Sedan	210	Gas	Rose	2023-01-25	12431.17	580630500	user05	2023-08-04	116667329	user23
ZX85QCBBBIP411923	SEDAN	2004	great stabilizer bar; 	Volkswagen	Good	Coupe	388	Gas	Orange,Yellow	2022-07-27	5052.47	491580595	user24	2023-08-06	886885026	user23
ZZUFHYJV0FI610258	GS-6 PROS	2023	crankcase; innovative air bags; crankcase; 	Karma	Excellent	Van	304	Gas	Beige	2023-01-19	21212.11	329866577	owner	2023-08-11	307192832	user25
